spanish,french,english,russian,spanish synonyms,french synonyms,english synonyms,russian synonyms,tags,cefr_level
hoja,feuille,leaf,лист,,,sheet,,plants_garden;nature;noun_thing,A2
conductor,conducteur,driver,водитель,chofer,chauffeur,chauffeur,,transportation;professions;noun_person,A1
ancho,large,wide,широкий,amplio,vaste;ample,,,shapes_measurements;adjective,A2
rendimiento,performance,performance,производительность,desempeño,,,,work;abstract_concepts;noun_thing,B2
patrón,motif,pattern,узор,esquema;modelo,schéma;modèle,,,colors_patterns;noun_thing,A2
medias,bas,stockings,чулки,,,hose,,clothing;noun_thing,A2
patrón,modèle,model,модель,modelo,,,,abstract_concepts;noun_thing,A2
desierto,désert,desert,пустыня,,,,,nature;places_geography;noun_place,A2
asiento,siège,seat,сиденье,butaca;plaza,,,,furniture;transportation;noun_thing,A1
calma,calme,calm,спокойствие,tranquilidad;paz,tranquillité;sérénité,peace;tranquility,тишина,emotions;noun_thing,A2
parada,arrêt,stop,остановка,paradero;estación,station,,,transportation;noun_place,A1
portada,couverture,cover,обложка,carátula,,front page,,literature;media_communication;noun_thing,A2
parcial,partiel,partial,частичный,,,,,abstract_concepts;adjective,B2
criterio,critère,criterion,критерий,norma,,standard,норма,abstract_concepts;noun_thing,B2
mate,mat,matte,матовый,opaco,terne,dull;non-glossy,тусклый,colors_patterns;textures_qualities;adjective,B2
suave,doux,soft,мягкий,blando,moelleux,gentle;mellow,,textures_qualities;adjective,A2
manual,manuel,manual,руководство,guía,guide,guide,,literature;tools_diy;noun_thing,B1
amarillo,jaune,yellow,желтый,amarillento,,,,colors_patterns;adjective,A1
actualización,mise à jour,update,обновление,modernización,,,,technology;noun_thing,B1
académico,académique,academic,академический,,universitaire,scholarly,,school;adjective,B2
prioridad,priorité,priority,приоритет,prelación,,,,abstract_concepts;noun_thing,B1
moto,moto,motorcycle,мотоцикл,motocicleta,motocyclette,bike,,transportation;noun_thing,A1
salsa,sauce,sauce,соус,,,,,food;cooking;noun_thing,A1
gris,gris,gray,серый,grisáceo,,,,colors_patterns;adjective,A1
autobús,bus,bus,автобус,colectivo;camión,autocar,coach,,transportation;noun_thing,A1
bicicleta,vélo,bicycle,велосипед,bici,bicyclette,bike,,transportation;sports;noun_thing,A1
camiseta,t-shirt,t-shirt,футболка,remera;playera;franela,tee-shirt,tee,,clothing;noun_thing,A1
taxi,taxi,taxi,такси,,,,,transportation;travel;noun_thing,A1
transparencia,transparence,transparency,прозрачность,,,,,abstract_concepts;textures_qualities;noun_thing,B2
fila,rangée,row,ряд,hilera,ligne,line,,directions_positions;noun_thing,A2
tristeza,tristesse,sadness,печаль,pena;melancolía;pesadumbre,chagrin;mélancolie,sorrow;melancholy,грусть;скорбь,emotions;noun_thing,A2
carretera secundaria,route secondaire,secondary road,второстепенная дорога,carretera comarcal,départementale,backroad,,transportation;noun_place,B2
rama,branche,branch,ветка,ramo,,,,plants_garden;nature;noun_thing,A2
profundamente,profondément,deeply,глубоко,hondamente,,profoundly,основательно,adverb,B2
mapa mental,carte mentale,mind map,ментальная карта,mapa conceptual,,,,school;abstract_concepts;noun_thing,B1
clínica,clinique,clinic,клиника,sanatorio,,sanatorium,санаторий,health;noun_place,A2
ácido,acide,acid,кислота,agrio,,sour,,materials;adjective,B1
otoño,automne,autumn,осень,,,fall,,time;weather;noun_thing,A1
seco,sec,dry,сухой,árido,aride,arid,засушливый,weather;textures_qualities;adjective,A2
naranja,orange,orange,оранжевый,anaranjado,,,,food;colors_patterns;noun_thing,A1
apartamento,appartement,apartment,квартира,departamento;piso,,flat,,house;noun_place,A1
fruto,fruit,fruit,фрукт,fruta,,,,food;plants_garden;noun_thing,A1
privacidad,confidentialité,privacy,конфиденциальность,intimidad,,confidentiality,приватность,technology;law_society;abstract_concepts;noun_thing,B2
cuadros,carreaux,plaid,в клетку,tartán;escocés,,checked,,colors_patterns;noun_thing,B1
intensidad,intensité,intensity,интенсивность,fuerza,,strength,,shapes_measurements;abstract_concepts;noun_thing,B2
traje de baño,maillot de bain,swimsuit,купальник,bañador;vestido de baño,,swimming costume,,clothing;travel;sports;noun_thing,A2
plástico,plastique,plastic,пластик,,,,,materials;noun_thing,A1
vidrio,verre,glass,стекло,cristal,,crystal,хрусталь,materials;noun_thing,A1
sano,sain,healthy,здоровый,saludable,en bonne santé,wholesome,полезный,health;adjective,A2
pescado,poisson,fish,рыба,,,,,food;animals;noun_thing,A1
pesado,lourd,heavy,тяжёлый,,pesant,,,shapes_measurements;adjective,A2
lana,laine,wool,шерсть,,,,,materials;clothing;noun_thing,A2
maíz,maïs,corn,кукуруза,elote;choclo;jojoto,,maize,,food;plants_garden;noun_thing,A2
helado,glace,ice cream,мороженое,crema helada,crème glacée,,,food;noun_thing,A1
satisfacción,satisfaction,satisfaction,удовлетворение,contento,contentement,contentment,,emotions;noun_thing,B1
visible,visible,visible,видимый,perceptible,,perceptible,заметный,textures_qualities;adjective,B1
tela,tissu,fabric,ткань,tejido,étoffe,cloth;material,материал,materials;clothing;noun_thing,A2
frecuentemente,fréquemment,frequently,часто,a menudo,souvent,often,,adverb,B1
fruta,fruit,fruit,фрукт,,,,,food;plants_garden;noun_thing,A1
lobo,loup,wolf,волк,,,,,animals;noun_thing,A2
terremoto,séisme,earthquake,землетрясение,sismo;temblor,tremblement de terre,tremor,сейсмический толчок,weather;nature;noun_thing,B1
camisa,chemise,shirt,рубашка,,,,,clothing;noun_thing,A1
hombro,épaule,shoulder,плечо,,,,,body;noun_thing,A2
respaldo,sauvegarde,backup,резервная копия,copia de seguridad,,,,technology;noun_thing,B1
catálogo,catalogue,catalog,каталог,,,,,shopping;media_communication;noun_thing,B1
esquema,schéma,schema,схема,diagrama,plan,diagram;plan,,abstract_concepts;media_communication;noun_thing,B2
horno,four,oven,духовка,,,,,cooking;home_appliances;noun_thing,A2
miel,miel,honey,мёд,,,,,food;noun_thing,A2
almuerzo,déjeuner,lunch,обед,,,,,food;noun_thing,A1
lealtad,loyauté,loyalty,лояльность,fidelidad,fidélité,fidelity,верность,emotions;abstract_concepts;noun_thing,B2
ligeramente,légèrement,slightly,слегка,levemente,,lightly,немного,adverb,B1
autopista,autoroute,highway,автострада,autovía,voie rapide,expressway,шоссе,transportation;noun_place,A2
precisión,précision,precision,точность,exactitud,,accuracy,,abstract_concepts;noun_thing,B2
cueva,grotte,cave,пещера,caverna;gruta,caverne,cavern;grotto,грот,nature;places_geography;noun_place,A2
manzana,pomme,apple,яблоко,,,,,food;plants_garden;noun_thing,A1
vaca,vache,cow,корова,,,,,animals;food;noun_thing,A1
ordenador,ordinateur,computer,компьютер,computadora;PC,,PC,ПК,technology;noun_thing,A1
escalera,escalier,stairs,лестница,,,,,house;construction;noun_thing,A1
barba,barbe,beard,борода,,,,,body;personal_care;noun_thing,A2
cuero,cuir,leather,кожа,,,,,materials;clothing;noun_thing,A2
tigre,tigre,tiger,тигр,,,,,animals;noun_thing,A1
artificial,artificiel,artificial,искусственный,sintético,synthétique,synthetic,синтетический,technology;adjective,B1
sed,soif,thirst,жажда,,,,,drink;health;noun_thing,A2
sopa,soupe,soup,суп,caldo,potage;bouillon,broth,бульон,food;cooking;noun_thing,A1
mono,singe,monkey,обезьяна,simio;primate,,,,animals;noun_thing,A1
harina,farine,flour,мука,,,,,food;cooking;noun_thing,A2
oso,ours,bear,медведь,,,,,animals;noun_thing,A1
claridad,clarté,clarity,ясность,nitidez;transparencia,netteté,clearness;transparency,четкость,abstract_concepts;noun_thing,B2
teclado,clavier,keyboard,клавиатура,,,,,technology;noun_thing,A2
sombrero,chapeau,hat,шляпа,pamela,,,,clothing;noun_thing,A1
limón,citron,lemon,лимон,,,,,food;plants_garden;noun_thing,A1
auténtico,authentique,authentic,аутентичный,genuino,véritable,genuine,подлинный,abstract_concepts;adjective,B2
variable,variable,variable,переменная,,,,,abstract_concepts;noun_thing,B2
armonía,harmonie,harmony,гармония,paz;equilibrio,équilibre,balance,баланс,music;abstract_concepts;noun_thing,B2
cerdo,cochon,pig,свинья,puerco;chancho;marrano,porc,hog,,animals;food;noun_thing,A1
ligero,léger,light,лёгкий,liviano,,,,shapes_measurements;adjective,A2
algodón,coton,cotton,хлопок,,,,,materials;clothing;noun_thing,A2
lateral,latéral,lateral,боковой,,,side,,directions_positions;adjective,B2
aceite esencial,huile essentielle,essential oil,эфирное масло,,,,,personal_care;noun_thing,B2
transparente,transparent,transparent,прозрачный,claro,,clear,ясный,textures_qualities;adjective,B1
músico,musicien,musician,музыкант,,,,,music;professions;noun_person,A2
arroyo,ruisseau,stream,ручей,riachuelo,,brook,,nature;places_geography;noun_place,B1
nube,nuage,cloud,облако,,,,,weather;nature;noun_thing,A1
secundario,secondaire,secondary,вторичный,accesorio,accessoire,ancillary;incidental,,abstract_concepts;adjective,B1
tomate,tomate,tomato,помидор,jitomate,,,,food;plants_garden;noun_thing,A1
pintor,peintre,painter,художник,,,,,art;professions;noun_person,A2
pasta de dientes,dentifrice,toothpaste,зубная паста,crema dental,,,,personal_care;health;noun_thing,A1
envidia,envie,envy,зависть,,,,,emotions;noun_thing,B1
botas,bottes,boots,сапоги,botines,,,,clothing;noun_thing,A1
cinturón,ceinture,belt,ремень,correa;cincho;cinto,,,пояс,clothing;noun_thing,A2
arquitecto,architecte,architect,архитектор,,,,,construction;professions;noun_person,A2
parcialmente,partiellement,partially,частично,a medias,,,,adverb,B2
wifi,wifi,wifi,вай-фай,,,,,technology;noun_thing,A1
restauración,restauration,restoration,реставрация,restitución,,restitution,восстановление,construction;art;noun_thing,B2
preferencia,préférence,preference,предпочтение,predilección,,,,abstract_concepts;noun_thing,B1
silla de ruedas,fauteuil roulant,wheelchair,инвалидная коляска,,,,,accessibility;health;noun_thing,B1
fotógrafo,photographe,photographer,фотограф,,,,,media_communication;art;professions;noun_person,A2
invisible,invisible,invisible,невидимый,imperceptible,,imperceptible,незаметный,textures_qualities;adjective,B1
vertical,vertical,vertical,вертикальный,,,,,directions_positions;shapes_measurements;adjective,B1
mochila,sac à dos,backpack,рюкзак,,,,,travel;school;noun_thing,A1
coco,noix de coco,coconut,кокос,,,,,food;plants_garden;noun_thing,A2
billete,billet,ticket,билет,entrada;ticket,ticket,,,travel;transportation;money;noun_thing,A1
mineral,minéral,mineral,минерал,,,,,nature;materials;noun_thing,B1
pila,pile,battery,батарея,,batterie,,аккумулятор,technology;noun_thing,A2
pastel,gâteau,cake,торт,torta;tarta,,,,food;cooking;noun_thing,A1
plenamente,pleinement,fully,полностью,totalmente,entièrement,completely;entirely,целиком,adverb,A2
automóvil,automobile,car,автомобиль,coche;auto,voiture,automobile;vehicle,машина,transportation;noun_thing,A1
accesible,accessible,accessible,доступный,alcanzable,,,,accessibility;adjective,B1
contemporáneo,contemporain,contemporary,современный,actual,,,,time;adjective,A2
bolso,sac à main,handbag,сумочка,bolsa;cartera,,purse,сумка,clothing;shopping;noun_thing,A2
rodilla,genou,knee,колено,,,,,body;noun_thing,A2
configuración,configuration,configuration,конфигурация,ajustes;parametrización,réglages,setup,настройка,technology;noun_thing,B2
comedor,salle à manger,dining room,столовая,,,,,house;furniture;noun_place,A2
plantilla,modèle,template,шаблон,machote,gabarit,pattern,модель,technology;work;noun_thing,A2
plantilla,semelle,insole,стелька,plantilla ortopédica,semelle orthopédique,,,clothing;noun_thing,A2
postre,dessert,dessert,десерт,dulce,entremets,,сладкое,food;noun_thing,A1
farmacia,pharmacie,pharmacy,аптека,botica,,,,health;shopping;noun_place,A1
postal,carte postale,postcard,открытка,tarjeta postal,,,почтовая карточка,travel;media_communication;noun_thing,A2
jersey,pull,sweater,свитер,pulóver;suéter,chandail,,пуловер,clothing;noun_thing,A1
cordero,agneau,lamb,ягнёнок,,,,барашек,food;animals;noun_thing,A2
prado,pré,meadow,луг,pradera,prairie,pasture,пастбище,nature;places_geography;noun_place,B1
col,chou,cabbage,капуста,repollo;berza,,,,food;plants_garden;noun_thing,A2
decepción,déception,disappointment,разочарование,desilusión;desengaño,désillusion,,,emotions;noun_thing,B1
cebolla,oignon,onion,лук,,,,,food;plants_garden;noun_thing,A1
honestidad,honnêteté,honesty,честность,sinceridad,sincérité,integrity,порядочность,abstract_concepts;noun_thing,B2
hígado,foie,liver,печень,,,,,body;food;noun_thing,B1
protector,protecteur,protector,защитник,defensa,,,,health;accessibility;noun_thing,B1
desagradable,désagréable,unpleasant,неприятный,molesto,déplaisant,,,emotions;adjective,B1
dormitorio,chambre,bedroom,спальня,cuarto;habitación;pieza;alcoba,,,комната,house;noun_place,A1
matriz,matrice,matrix,матрица,,,,,technology;abstract_concepts;noun_thing,B2
celda,cellule,cell,ячейка,casilla,,,,technology;noun_thing,B1
cuna,berceau,crib,колыбель,camita,lit de bébé,,люлька,baby_childcare;furniture;noun_thing,B1
volante,volant,steering wheel,руль,timón;manubrio,,,,vehicle_parts;transportation;noun_thing,A2
cintura,taille,waist,талия,,,,,body;clothing;noun_thing,A2
colina,colline,hill,холм,cerro;loma,,,,nature;places_geography;noun_place,A2
botas de lluvia,bottes de pluie,rain boots,резиновые сапоги,,,wellies,,clothing;weather;noun_thing,A2
billete de tren,billet de train,train ticket,билет на поезд,boleto;pasaje;ticket,,,,travel;transportation;noun_thing,A1
batería externa,batterie externe,power bank,пауэрбанк,batería portátil;power bank,,external battery,внешний аккумулятор,technology;travel;noun_thing,A2
pájaro,oiseau,bird,птица,ave,,,пташка,animals;noun_thing,A1
volcán,volcan,volcano,вулкан,,,,,nature;places_geography;noun_place,A2
pato,canard,duck,утка,ánade,,,,animals;food;noun_thing,A1
nostalgia,nostalgie,nostalgia,ностальгия,añoranza,regret,longing,,emotions;noun_thing,B2
marea,marée,tide,прилив и отлив,,,,,nature;weather;noun_thing,B1
celos,jalousie,jealousy,ревность,recelo,,,,emotions;noun_thing,B1
pantalón,pantalon,pants,брюки,pantalones;vaqueros,jean,trousers,штаны,clothing;noun_thing,A1
marrón,brun,brown,коричневый,castaño,marron,,,colors_patterns;adjective,A1
pasillo,couloir,hallway,коридор,corredor,dégagement,corridor,,house;noun_place,A2
zapatillas,chaussons,slippers,тапочки,pantuflas,pantoufles,,тапки,clothing;house;noun_thing,A2
horizontal,horizontal,horizontal,горизонтальный,,,,,directions_positions;shapes_measurements;adjective,A2
paloma,colombe,dove,голубь,pichón,pigeon,pigeon,горлица,animals;noun_thing,B1
abrigo,manteau,coat,пальто,gabán;sobretodo;tapado,pardessus,,шинель,clothing;weather;noun_thing,A1
chaqueta,veste,jacket,куртка,cazadora;chamarra;saco,blouson,,пиджак,clothing;noun_thing,A1
equidad,équité,equity,справедливость,imparcialidad;justicia,,fairness,,law_society;abstract_concepts;noun_thing,C1
indiferencia,indifférence,indifference,безразличие,desinterés;apatía,désintérêt;apathie,apathy,апатия,emotions;noun_thing,B2
ensalada,salade,salad,салат,,,,,food;cooking;noun_thing,A1
cuidadosamente,soigneusement,carefully,тщательно,meticulosamente,méticuleusement,meticulously,,adverb,A2
supermercado,supermarché,supermarket,супермаркет,,,,,shopping;noun_place,A1
semilla,graine,seed,семя,pepita;simiente,,,зёрнышко,plants_garden;food;noun_thing,A2
alfombra,tapis,carpet,ковёр,tapete;estera;moqueta,moquette,rug,палас,house;furniture;noun_thing,A2
araña,araignée,spider,паук,,,,,animals;noun_thing,A2
enojo,colère,anger,гнев,enfado;ira;rabia,fureur,rage,злость;ярость,emotions;noun_thing,A2
falda,jupe,skirt,юбка,saya;pollera,,,,clothing;noun_thing,A1
pimienta,poivre,pepper,перец,,,,,food;cooking;noun_thing,A1
perfume,parfum,perfume,духи,aroma;fragancia;colonia;esencia,fragrance;senteur,fragrance;scent,,personal_care;noun_thing,A2
cartón,carton,cardboard,картон,,,,,materials;noun_thing,A2
freno,frein,brake,тормоз,,,,,vehicle_parts;transportation;noun_thing,B1
frontal,frontal,frontal,фронтальный,,,,,directions_positions;adjective,B2
cajón,tiroir,drawer,ящик,gaveta,,,,furniture;house;noun_thing,A2
librería,librairie,bookstore,книжный магазин,,,,,shopping;literature;noun_place,A2
águila,aigle,eagle,орёл,rapaz,,,,animals;noun_thing,A2
jabón,savon,soap,мыло,,,,,personal_care;household_cleaning;noun_thing,A1
ratón,souris,mouse,мышь,,,,,animals;technology;noun_thing,A1
linterna frontal,lampe frontale,headlamp,налобный фонарь,frontal,,,,travel;technology;noun_thing,B1
mantequilla,beurre,butter,масло,,,,,food;cooking;noun_thing,A1
tronco,tronc,trunk,ствол,,,,ствол дерева,plants_garden;nature;noun_thing,A2
tablero,plaque,board,доска,panel,panneau,panel;plaque,панель;плита,tools_diy;construction;noun_thing,A2
balcón,balcon,balcony,балкон,,,,,house;construction;noun_place,A2
jamón,jambon,ham,ветчина,,,,,food;noun_thing,A1
armario,armoire,wardrobe,шкаф,ropero;clóset,penderie;placard,closet,гардероб,furniture;house;noun_thing,A2
neutral,neutre,neutral,нейтральный,neutro,,,,abstract_concepts;adjective,B1
ascensor,ascenseur,elevator,лифт,elevador,,lift,,house;accessibility;noun_thing,A1
mango,mangue,mango,манго,,,,,food;plants_garden;noun_thing,A1
piña,ananas,pineapple,ананас,ananá,,,,food;plants_garden;noun_thing,A1
frustración,frustration,frustration,фрустрация,,,,,emotions;noun_thing,B1
cabra,chèvre,goat,коза,chivo,,,,animals;noun_thing,A2
cortina,rideau,curtain,занавеска,visillo,voilage,,штора,house;furniture;noun_thing,A2
mariposa,papillon,butterfly,бабочка,,,,,animals;noun_thing,A2
protector solar,crème solaire,sunscreen,солнцезащитный крем,bloqueador solar,écran solaire,sunblock,,personal_care;health;travel;noun_thing,A2
bodega,cave,cellar,подвал,,,,,house;food;drink;noun_place,B1
amargo,amer,bitter,горький,,,,,food;textures_qualities;adjective,A2
perla,perle,pearl,жемчуг,,,,,materials;clothing;noun_thing,B1
toalla,serviette de toilette,towel,полотенце,,,,,house;personal_care;noun_thing,A1
ajo,ail,garlic,чеснок,,,,,food;cooking;noun_thing,A2
caravana,caravane,caravan,караван,casa rodante,roulotte,trailer,фургон,travel;transportation;noun_thing,B1
micrófono,microphone,microphone,микрофон,micro,,mic,,technology;media_communication;noun_thing,A2
elefante,éléphant,elephant,слон,,,,,animals;noun_thing,A1
frágil,fragile,fragile,хрупкий,quebradizo,cassant,breakable,,textures_qualities;adjective,A2
ético,éthique,ethical,этический,moral,,moral,моральный,law_society;abstract_concepts;adjective,B2
cálido,chaud,warm,тёплый,caliente,,hot,жаркий,weather;textures_qualities;adjective,A1
selva tropical,jungle tropicale,rainforest,тропический лес,jungla,,jungle,джунгли,nature;places_geography;noun_place,B1
guantes,gants,gloves,перчатки,,,,,clothing;noun_thing,A1
uva,raisin,grape,виноград,,,,,food;plants_garden;noun_thing,A1
carpeta,dossier,folder,папка,,,,,technology;school;noun_thing,A2
recto,droit,straight,прямой,derecho,,upright,,directions_positions;shapes_measurements;adjective,A2
húmedo,humide,damp,влажный,,,moist,,weather;textures_qualities;adjective,B1
optimismo,optimisme,optimism,оптимизм,,,,,emotions;noun_thing,B2
cera,cire,wax,воск,,,,,materials;personal_care;noun_thing,B1
mármol,marbre,marble,мрамор,,,,,materials;construction;noun_thing,B1
pulmón,poumon,lung,лёгкое,,,,,body;health;noun_thing,B1
aroma,arôme,aroma,аромат,fragancia;perfume;olor,parfum;senteur,fragrance;scent,запах;благоухание,food;personal_care;noun_thing,B1
lámpara,lampe,lamp,лампа,bombilla;foco,luminaire,light,светильник,house;furniture;noun_thing,A1
textil,textile,textile,текстиль,,,,,materials;clothing;noun_thing,B2
coherencia,cohérence,coherence,согласованность,cohesión,,consistency,последовательность,abstract_concepts;noun_thing,B2
equipaje,bagage,luggage,багаж,maletas;bultos,,baggage,чемоданы,travel;noun_thing,A2
rocío,rosée,dew,роса,,,,,weather;nature;noun_thing,B2
gorra,casquette,cap,кепка,cachucha,,baseball cap,бейсболка,clothing;noun_thing,A2
tiburón,requin,shark,акула,escualo,,,,animals;noun_thing,A2
coral,corail,coral,коралл,,,,,nature;materials;noun_thing,B1
portátil,portable,portable,портативный,portativo,,,,technology;noun_thing,B1
empatía,empathie,empathy,эмпатия,,,,,emotions;noun_thing,B2
flexible,flexible,flexible,гибкий,elástico,souple,pliable,эластичный,textures_qualities;adjective,B1
violeta,violet,violet,фиолетовый,morado,,purple,пурпурный,colors_patterns;adjective,A2
cubo,seau,bucket,ведро,balde,,,бадья,house;tools_diy;noun_thing,A2
manta,couverture,blanket,одеяло,frazada;cobija,plaid,,,house;furniture;noun_thing,A2
prólogo,prologue,prologue,пролог,prefacio;introducción,préface;introduction,preface,предисловие;введение,literature;noun_thing,B2
zapato,chaussure,shoe,туфля,calzado,soulier,footwear,обувь,clothing;noun_thing,A1
caldo,bouillon,broth,бульон,consomé,,stock,отвар,food;cooking;noun_thing,B1
almohada,oreiller,pillow,подушка,cojín;cabecera,traversin,,думка,house;furniture;noun_thing,A1
orgánico,organique,organic,органический,,,,,food;plants_garden;adjective,B1
granito,granit,granite,гранит,,,,,materials;construction;noun_thing,B2
mojado,mouillé,wet,мокрый,húmedo,humide;trempé,damp;soaked,влажный;пропитанный,weather;textures_qualities;adjective,A1
marfil,ivoire,ivory,слоновая кость,,,,,materials;colors_patterns;noun_thing,B2
bigote,moustache,mustache,усы,,,,,body;personal_care;noun_thing,A2
exactitud,exactitude,accuracy,точность,precisión,,precision,,abstract_concepts;noun_thing,B2
faro,phare,lighthouse,маяк,,,,,travel;transportation;noun_place,B1
auriculares,écouteurs,earphones,наушники,cascos;audífonos,,earbuds,,technology;music;noun_thing,A2
escuadra,équerre,set square,угольник,,,,,tools_diy;shapes_measurements;noun_thing,B1
cargador,chargeur,charger,зарядное устройство,,,,,technology;noun_thing,A2
cuervo,corbeau,crow,ворон,,,,,animals;noun_thing,B1
amplitud,amplitude,amplitude,амплитуда,,,,,shapes_measurements;abstract_concepts;noun_thing,B2
metálico,métallique,metallic,металлический,,,,,materials;adjective,B1
hormigón,béton,concrete,бетон,concreto,,,конкрет,materials;construction;noun_thing,B1
confidencial,confidentiel,confidential,конфиденциальный,secreto,,secret,секретный,law_society;abstract_concepts;adjective,B2
regla flexible,règle souple,flexible ruler,гибкая линейка,,,,,tools_diy;school;noun_thing,B1
martillo de bola,marteau à panne ronde,ball-peen hammer,шариковый молоток,,,,,tools_diy;noun_thing,C1
garaje,garage,garage,гараж,cochera,,,,house;transportation;noun_place,A2
colchón,matelas,mattress,матрас,colchoneta,,,,house;furniture;noun_thing,A2
zorro,renard,fox,лиса,,,,,animals;noun_thing,A2
rayas,rayures,stripes,полосы,listas,,lines,линии,colors_patterns;noun_thing,A2
resonancia,résonance,resonance,резонанс,eco,écho,echo,эхо,music;technology;noun_thing,B2
chimenea,cheminée,chimney,дымоход,hogar,foyer,fireplace,камин,house;construction;noun_thing,B1
resistente,résistant,resilient,стойкий,fuerte,solide,durable,прочный,textures_qualities;adjective,B2
calefacción,chauffage,heating,отопление,calefactor,,,,house;home_appliances;noun_thing,A2
corbata,cravate,tie,галстук,,,,,clothing;work;noun_thing,A2
guantes de lana,gants en laine,wool gloves,шерстяные перчатки,,,,,clothing;weather;noun_thing,A2
sótano,sous-sol,basement,подвал,,,,,house;noun_place,B1
atún,thon,tuna,тунец,,,,,food;animals;noun_thing,A2
objetividad,objectivité,objectivity,объективность,imparcialidad,,,непредвзятость,abstract_concepts;noun_thing,B2
ventilador,ventilateur,fan,вентилятор,abanico,,,,house;home_appliances;noun_thing,A2
oveja,brebis,ewe,овца,borrego,,sheep,,animals;noun_thing,A2
plátano,banane,banana,банан,banana;cambur;guineo,,,,food;plants_garden;noun_thing,A1
raramente,rarement,rarely,редко,pocas veces,,,,adverb,A2
salado,salé,salty,солёный,,,,,food;textures_qualities;adjective,A2
cadera,hanche,hip,бедро,,,,,body;noun_thing,A2
interferencia,interférence,interference,помехи,perturbación,,,,abstract_concepts;technology;noun_thing,B2
consistencia,consistance,consistency,консистенция,,,,,textures_qualities;abstract_concepts;noun_thing,B2
trapo,chiffon,rag,тряпка,paño;bayeta,torchon,,ветошь,household_cleaning;noun_thing,A2
yeso,plâtre,plaster,гипс,,,,,materials;construction;noun_thing,B1
microondas,micro-ondes,microwave,микроволновка,,,,микроволновая печь,cooking;home_appliances;noun_thing,A2
folleto,brochure,brochure,брошюра,prospecto,dépliant,pamphlet,проспект,media_communication;noun_thing,B1
pera,poire,pear,груша,,,,,food;plants_garden;noun_thing,A1
vinagre,vinaigre,vinegar,уксус,,,,,food;cooking;noun_thing,A2
carrito,poussette,stroller,детская коляска,cochecito;carriola,,pram;pushchair,прогулочная коляска,baby_childcare;noun_thing,A2
cajero,caissier,cashier,кассир,cajera,,,,shopping;professions;noun_person,A2
tobillo,cheville,ankle,лодыжка,,,,,body;noun_thing,A2
parche,correctif,patch,заплатка,remiendo,rustine,,лата,technology;noun_thing,B1
pizarra,ardoise,blackboard,доска,pizarrón;encerado,tableau noir,chalkboard,школьная доска,school;noun_thing,A2
esponja,éponge,sponge,губка,,,,,household_cleaning;personal_care;noun_thing,A2
impresora,imprimante,printer,принтер,,,,,technology;work;noun_thing,A2
hilo dental,fil dentaire,dental floss,зубная нить,seda dental,,,,personal_care;health;noun_thing,B1
camarero,serveur,waiter,официант,mesero,,server,,professions;food;noun_person,A1
ballena,baleine,whale,кит,,,,,animals;noun_thing,A2
cocinero,cuisinier,cook,повар,,,,,professions;cooking;noun_person,A1
gorro,bonnet,beanie,шапка,gorra,,,,clothing;weather;noun_thing,A2
esmeralda,émeraude,emerald,изумруд,,,,,materials;colors_patterns;noun_thing,B2
intestino,intestin,intestine,кишка,tripas,boyaux,,,body;health;noun_thing,B2
tendido,literie,bedding,постельное бельё,ropa de cama,linge de lit,,,house;furniture;noun_thing,B1
fresa,fraise,strawberry,клубника,frutilla,,,,food;plants_garden;noun_thing,A1
cascada,cascade,waterfall,водопад,catarata,chute d'eau,,,nature;places_geography;noun_place,A2
barroco,baroque,baroque,барокко,,,,,art;adjective,B2
semáforo,feu tricolore,traffic light,светофор,,feu,,,transportation;noun_thing,A2
peaje,péage,toll,плата за проезд,portazgo,,,дорожный сбор,transportation;money;noun_thing,B1
huerto urbano,potager urbain,urban garden,городской сад,,,,,plants_garden;house;noun_place,B1
calabaza,citrouille,pumpkin,тыква,auyama;zapallo,,,,food;plants_garden;noun_thing,A2
frijoles,haricots,beans,фасоль,porotos;caraotas;judías;habichuelas,,,бобы,food;plants_garden;noun_thing,A1
ciclón,cyclone,cyclone,циклон,huracán;tifón,ouragan;typhon,hurricane;typhoon,ураган;тайфун,weather;noun_thing,B1
riñón,rein,kidney,почка,,,,,body;health;noun_thing,B2
linterna,lampe de poche,flashlight,фонарик,linterna eléctrica,,torch,карманный фонарик,travel;technology;noun_thing,A2
loro,perroquet,parrot,попугай,cotorra;papagayo,,macaw,ара,animals;noun_thing,A2
blusa,blouse,blouse,блузка,camisola,,,,clothing;noun_thing,A2
resaca,ressac,undertow,отбой,oleaje,houle,,прибой,nature;weather;noun_thing,C1
prudencia,prudence,prudence,осторожность,cautela,précaution,caution,осмотрительность,abstract_concepts;noun_thing,B2
compás,compas,drawing compass,циркуль,,,,,school;tools_diy;noun_thing,B1
mermelada,confiture,jam,варенье,,,,,food;cooking;noun_thing,A1
zócalo,plinthe,skirting board,плинтус,rodapié,,baseboard,,construction;house;noun_thing,C1
helada,gel,frost,мороз,congelación;escarcha,gelée,freeze;glaze,,weather;noun_thing,B1
cepillo de dientes,brosse à dents,toothbrush,зубная щетка,,,,,personal_care;health;noun_thing,A1
vaqueros,jean,jeans,джинсы,pantalón vaquero,,denims,,clothing;noun_thing,A1
calcetines,chaussettes,socks,носки,calcetas,,,,clothing;noun_thing,A1
guante,gant,glove,перчатка,,,,,clothing;noun_thing,A1
