spanish,french,spanish synonyms,french synonyms
minimalista,minimaliste,,
pegajoso,collant,adhesivo,adhésif
repelente,répulsif,repelente de insectos,anti-moustiques
barandilla,barrière de lit,baranda;pasamanos,garde-corps
morsa,morse,,
brócoli,brocoli,brécol,
arnés,harnais,,
señalización táctil,signalétique tactile,,signalisation tactile
braille,braille,,
caldero,chaudron,olla,marmite
trineo,luge,,
merluza,colin,pescada,
lija,papier de verre,papel de lija,
portafolios,porte-documents,carpeta,
flequillo,frange,cerquillo;copete,
ciruela,prune,,
pantuflas,pantoufles,zapatillas,chaussons
ampolla,ampoule,cloque,
chupete,tétine,chupón;chupo,sucette
tetera,théière,,
colcha,couvre-lit,cubrecama,dessus-de-lit
chanclas,tongues,chancletas;sandalias,claquettes
raqueta de nieve,raquette à neige,,
maceta colgante,pot suspendu,maceta suspendida,
triciclo,tricycle,,
espinaca,épinard,,
cremoso,crémeux,untuoso,onctueux
escarcha,givre,helada,gelée
recibidor,entrée,vestíbulo;hall,
curvo,courbe,torcido,incurvé
desván,grenier,ático;buhardilla,
biberón,biberon,tetero;mamila;mamadera,
cerámico,céramique,,
gasoil,gazole,diésel,diesel
magenta,magenta,,
analgésico,antalgique,calmante,calmant
coliflor,chou-fleur,,
broca,foret,mecha,mèche
camisón,chemise de nuit,bata,
codorniz,caille,,
óvalo,ovale,,
azucarero,sucrier,,
pasamanos,rampe,barandilla,main courante
corralito,parc pour bébé,corral,
hematoma,ecchymose,moretón;cardenal,bleu
contraportada,quatrième de couverture,contratapa,
lavavajillas,lave-vaisselle,,
resbaladizo,glissant,escurridizo,
mesilla,table de chevet,mesita de noche,
clorofila,chlorophylle,,
edredón,édredon,acolchado;plumón,couette
lamina,lame,hoja;plancha,feuille
soplete,chalumeau,antorcha,torche
fregona,serpillière,trapeador;mopa,
faisán,faisan,,
salero,salière,,
viscoso,visqueux,espeso,
pradera alpina,alpage,,
antiséptico,antiseptique,desinfectante,désinfectant
alcalino,alcalin,básico,basique
coordenada,coordonnée,,
paragolpes,pare-chocs,parachoques,
ágata,agate,,
rococó,rococo,,
andador,déambulateur,caminador,
narcótico,narcotique,estupefaciente;droga,stupéfiant;drogue
mirilla,judas,mirilla de puerta,
ventisca,blizzard,nevasca;temporal,tempête de neige
grapa,agrafe,gancho,
plumón,doudoune,edredón,
perchero mural,patère,perchero de pared,porte-manteau mural
balda,étagère,estante;repisa,rayon
ayllu,communauté andine,,
guisante,pois,arveja;chícharo;petipuá,
carpeta de anillas,classeur à anneaux,archivador,
amatista,améthyste,,
fiordo,fjord,,
pestillo,loquet,picaporte,targette
encerado,ciré,hule,toile cirée
cian,cyan,,
trastero,débarras,cuarto de trebejos;bodega,
camelia,camélia,,
topacio,topaze,,
parka,parka,anorak,
almohadón,grand coussin,cojín grande,
rugoso,rugueux,áspero,rêche
crisantemo,chrysanthème,,
poroso,poreux,,
conversor,convertisseur,convertidor,
biodegradable,biodégradable,,
lenguado,sole,,
reutilizable,réutilisable,,
mandolina,mandoline,,
bajamar,marée basse,marea baja,
reciclable,recyclable,,
abejorro,bourdon,,
perforadora,perforatrice,taladradora,
suavizante,adoucissant,,
sonajero,hochet,sonaja,
rallador,râpe,rallo,
pleamar,marée haute,marea alta,
explicito,explicite,explícito,
botijo,botijo,cántaro,
anémona,anémone,,
batidor,fouet,batidora,
pescadero,poissonnier,pescador,
autocaravana,camping-car,casa rodante,
cabecero,tête de lit,respaldo;cabecera,
meandro,méandre,curva,virage
jamba,huisserie,marco,montant;encadrement
plomada,fil à plomb,,
exprimidor,presse-agrumes,sacajugos,
ónix,onyx,,
ensaladera,saladier,,
pimentero,poivrier,,
grapadora,agrafeuse,engrapadora,
mosquetón,mousqueton,,
portaequipajes,porte-bagages,baca,galerie
climatizador,climatiseur,aire acondicionado,climatisation
somier,sommier,base de cama,
trona,chaise haute,silla alta;periquera,
rotulo,enseigne,letrero,
rocalla,rocaille,jardín de rocas,
raspador,grattoir,rasqueta,racloir
pelador,éplucheur,pelapapas,économe
regleta,multiprise,zapatilla;multicontacto,bloc multiprise
escoplo,burin,cincel,
formón,bédane,gubia,
colutorio,bain de bouche,enjuague bucal,
lebrillo,terrine,barreño,
colchón antiescaras,matelas anti-escarres,,
atornillador,tournevis,destornillador,
cordino,cordelette,,
subrayador,surligneur,resaltador,marqueur
compostera,composteur,compostador,
prolongador,rallonge,alargador;extensión,rallonge électrique
espinillera,protège-tibia,canillera,
